e4_count,d4_count,knight_moves,bishop_moves,queen_moves_early,captures_early,early_castle,player
0,1,5,4,0,0,1,Jose Raul Capablanca
1,1,8,2,1,6,1,Jose Raul Capablanca
0,1,4,4,1,5,1,Jose Raul Capablanca
1,0,8,3,1,5,1,Jose Raul Capablanca
0,1,6,3,2,6,0,Jose Raul Capablanca
1,1,7,4,1,6,1,Jose Raul Capablanca
0,1,6,4,2,4,1,Jose Raul Capablanca
1,0,7,4,0,0,1,Jose Raul Capablanca
0,1,6,4,1,6,1,Jose Raul Capablanca
1,1,5,4,0,4,1,Jose Raul Capablanca
0,1,5,3,2,6,1,Jose Raul Capablanca
1,0,8,3,1,5,1,Jose Raul Capablanca
0,1,4,5,2,6,0,Jose Raul Capablanca
2,0,5,4,1,5,1,Jose Raul Capablanca
0,1,4,4,2,6,1,Jose Raul Capablanca
2,1,4,4,1,2,0,Jose Raul Capablanca
0,1,6,4,2,6,1,Jose Raul Capablanca
1,1,5,3,0,4,1,Jose Raul Capablanca
1,0,7,5,0,2,1,Jose Raul Capablanca
1,0,4,6,0,2,1,Jose Raul Capablanca
0,1,7,2,1,5,0,Jose Raul Capablanca
1,1,7,3,0,4,1,Jose Raul Capablanca
0,1,5,3,2,6,1,Jose Raul Capablanca
1,1,8,4,0,2,1,Jose Raul Capablanca
0,1,5,5,1,4,1,Jose Raul Capablanca
1,1,6,4,0,4,1,Jose Raul Capablanca
1,1,7,3,0,4,1,Jose Raul Capablanca
1,0,5,6,1,6,0,Jose Raul Capablanca
1,1,3,4,3,2,0,Jose Raul Capablanca
1,1,6,6,0,2,1,Jose Raul Capablanca
1,1,4,5,0,6,1,Jose Raul Capablanca
0,1,6,3,1,6,0,Jose Raul Capablanca
1,1,4,3,2,3,0,Jose Raul Capablanca
0,1,7,3,0,2,1,Jose Raul Capablanca
1,1,7,4,0,2,1,Jose Raul Capablanca
0,1,7,3,2,2,0,Jose Raul Capablanca
1,1,7,4,0,2,1,Jose Raul Capablanca
0,1,5,4,0,0,1,Jose Raul Capablanca
1,0,5,5,0,0,1,Jose Raul Capablanca
1,1,8,3,2,3,0,Jose Raul Capablanca
1,0,5,6,0,1,1,Jose Raul Capablanca
1,1,4,4,0,2,1,Jose Raul Capablanca
