player,color,opponent,result,event,site,date,year,eco,opening,plycount
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,B01,Scandinavian Defense,107
Paul Morphy,white,"Harrwitz, Daniel",1-0,Paris m3,Paris,1858.??.??,1858,C41,Philidor Defense,95
Paul Morphy,black,"Anderssen, Adolf",0-1,Paris m1,Paris,1858.??.??,1858,A20,English Opening,84
Paul Morphy,black,"Harrwitz, Daniel",1/2-1/2,Paris m3,Paris,1858.??.??,1858,A85,"Dutch Defense, Rubinstein Variation",90
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,B01,Scandinavian Defense,49
Paul Morphy,white,"Harrwitz, Daniel",1-0,Paris m3,Paris,1858.??.??,1858,C41,Philidor Defense,117
Paul Morphy,black,"Anderssen, Adolf",1/2-1/2,Paris m1,Paris,1858.??.??,1858,A20,English Opening,101
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,B44,"Sicilian Defense, Taimanov",33
Paul Morphy,black,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,A20,English Opening,153
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,C00,French Defense,71
Paul Morphy,white,"Anderssen, Adolf",1-0,Paris m1,Paris,1858.??.??,1858,C39,"King’s Gambit Accepted, Allgaier Gambit",45
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,London m1,London,1859.??.??,1859,C51,Evans Gambit,61
Paul Morphy,black,"Loewenthal, Johann Jacob",1/2-1/2,London m1,London,1859.??.??,1859,C84,"Ruy Lopez, Closed",93
Paul Morphy,black,"Loewenthal, Johann Jacob",1-0,London m1,London,1859.??.??,1859,C78,"Ruy Lopez, Archangelsk",75
Paul Morphy,white,"Loewenthal, Johann Jacob",1/2-1/2,London m1,London,1859.??.??,1859,C51,Evans Gambit,87
Paul Morphy,white,Hart,1-0,New York sim,New York,1859.??.??,1859,C44,King’s Pawn Game,43
Paul Morphy,white,"Jefferson, BT.",1-0,New York sim,New York,1859.??.??,1859,C52,"Evans Gambit, Pierce Defense",45
Paul Morphy,white,"Knott, Simon JB",1-0,New York sim,New York,1859.??.??,1859,C37,"King’s Gambit Accepted, Muzio Gambit",53
Paul Morphy,white,NN,1-0,New York sim,New York,1859.??.??,1859,C51,Evans Gambit,45
Paul Morphy,white,"Stone, J.",1-0,New York sim,New York,1859.??.??,1859,C51,Evans Gambit,59
Paul Morphy,black,"Mongredien, Augustus",1/2-1/2,Paris m1,Paris,1859.??.??,1859,C23,Bishop's Opening,50
